Time,CN,Temp,O2
201,0.16,5,1
246,0.16,5,2
271,0.16,5,3
150,0.8,5,1
164,0.8,5,2
170,0.8,5,3
131,4,5,1
138,4,5,2
149,4,5,3
130,20,5,1
136,20,5,2
127,20,5,3
97,100,5,1
102,100,5,2
99,100,5,3
124,0.16,15,1
158,0.16,15,2
207,0.16,15,3
104,0.8,15,1
111,0.8,15,2
117,0.8,15,3
86,4,15,1
99,4,15,2
81,4,15,3
89,20,15,1
91,20,15,2
87,20,15,3
60,100,15,1
74,100,15,2
72,100,15,3
79,0.16,25,1
129,0.16,25,2
142,0.16,25,3
63,0.8,25,1
54,0.8,25,2
93,0.8,25,3
50,4,25,1
51,4,25,2
62,4,25,3
51,20,25,1
52,20,25,2
51,20,25,3
32,100,25,1
46,100,25,2
52,100,25,3
