Ratio,PotID,Type
1.67,16553,G
1.68,16534,G
1.38,16550,G
1.66,16668,G
1.38,16767,G
1.7,16768,G
1.58,16770,G
1.49,16771,G
1.48,16773,G
1.28,16775,G
1.55,16776,G
1.29,16777,G
1.36,16780,G
1.47,16781,G
1.52,16787,G
1.37,16789,G
1.53,16553,G
1.7,16534,G
1.76,16550,G
1.48,16668,G
1.61,16767,G
1.71,16768,G
1.59,16770,G
1.52,16771,G
1.44,16773,G
1.45,16775,G
1.45,16776,G
1.57,16777,G
1.22,16780,G
1.43,16781,G
1.56,16787,G
1.38,16789,G
1.61,16553,G
1.49,16534,G
1.52,16550,G
1.69,16668,G
1.64,16767,G
1.71,16768,G
1.38,16770,G
1.68,16771,G
1.58,16773,G
1.5,16775,G
1.44,16776,G
1.44,16777,G
1.41,16780,G
1.61,16781,G
1.56,16787,G
1.4,16789,G
2.18,16553,N
2,16534,N
2.41,16550,N
1.93,16668,N
2.32,16767,N
2.48,16768,N
2,16770,N
1.94,16771,N
1.93,16773,N
1.77,16775,N
2.06,16776,N
2,16777,N
1.87,16780,N
2.24,16781,N
1.79,16787,N
1.85,16789,N
2.23,16553,N
2.12,16534,N
2.11,16550,N
2,16668,N
2.23,16767,N
2.11,16768,N
2.18,16770,N
2.13,16771,N
1.95,16773,N
2.03,16775,N
1.85,16776,N
1.94,16777,N
1.87,16780,N
2,16781,N
2.08,16787,N
2.1,16789,N
2.32,16553,N
2.18,16534,N
2.6,16550,N
2,16668,N
1.9,16767,N
2,16768,N
2.16,16770,N
2.29,16771,N
2.1,16773,N
2.08,16775,N
1.92,16776,N
1.8,16777,N
2.26,16780,N
2.23,16781,N
1.89,16787,N
2,16789,N
